Airport,Name,Node,A,B,C,D,E,F,Property
RKSI,304,304_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,REMOTE
RKSI,711,711_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,HANGER
RKSI,3,3_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,6,6_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,2,2_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,7,7_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,1,1_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,8,8_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,9,9_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,10,10_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,11,11_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,12,12_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,14,14_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,15,15_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,16,16_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,17,17_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,18,18_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,24,24_2_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,26,26_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,19,19_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,23,23_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,22,22_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,21,21_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,20,20_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,27,27_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,103,103_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,105,105_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,101,101_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,28,28_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,102,102_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,107,107_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,104,104_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,50,50_2_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,106,106_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,109,109_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,49,49_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,30,30_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,42,42_2_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,108,108_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,48,48_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,43,43_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,111,111_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,31,31_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,41,41_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,45,45_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,46,46_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,47,47_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,110,110_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,113,113_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,201,201_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,32,32_1_1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
RKSI,40,40_1_2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,GATE
